text,label
অপরাদি যে হোক যে কোন বয়সের হোক না কেন বিচারের মুখা মুখি হতে হবে,0
হাইরে মূর্খ বাঙালি ডিজিটাল শব্দের অর্থ না বুঝিয়া আর কতো এ শব্দের অপব্যাবহার দেখবো?,4
নিশ্চিন্তে ভেঙে যাও কেউ বলার নেই......,4
কেয়ামতের মাঠে তোমাদের ছাড়া নট,4
জনাব ইউসুফ এর মত কেউ অসহায় মানুষদের পাশে থাকলে দেশের অবস্থার উন্নতি হতে ১ বছর ও লাগবে না!!!!,0
বাংলাদেশে মুসলমান যে দেশে যাবে বা দুকবে সে দেশ নয়রাজ্যগর্তা শিষ্ঠি হয় এশিয়ার মধ্যো প্রায্য দেশ মুসলিম দেশ সে দেশে মুসলিম রা বাংলাদেশের মুসলিম কে দেখতে পারে না  উরা বলে বাংলা নপর হাঁরামী মালায়সিয়া লুকেরা বলে বাংলা ওয়ারাং আলিবাবা লুকচা ওয়ারাং তাবাগুড আর বাংলাদেশ মুসলিম ম্রাংমারে গেলে সব সময় গন্দগোল খুন খারাপ লেগেয় তাকবে কারণ মায়ানমারা চুরি লুচা মিথ্যা বাদী কে প্রশ্রয় দেয়না পড়ে দুই দেশে বন্ধুত্ব রাতারাতি নষ্ঠহবে,3
2nd time in BANGLADESH 😊 অভিনন্দন মিঃ বেনজির ।,0
ঠিক আছে,0
আমার মনে হয় ইলেক্ট্রনিক এবং প্রিন্ট মিডিয়াদের সাথে আপনাদের সার্বক্ষণিক একটা লিয়াজু রাখা উচিত। সমন্নিত উদ্যোগ ছাড়া বেশি দূর যাওয়া কস্ট হবে। ভেতরের খবর গুলো যত বেশি মানুষ জানবে অপরাধিরা তত বেশি ভয়ে থাকবে। wish you all the best to save us,4
সব ভুয়া,3
ভাই আপনাার জন্য আমি গর্বিত আমার একবার কোলাকোলি করবেন ভাই?,0
আমি বলব চোরের শাস্তির পাশাপাশি সাইদ দেরও পুরষ্কৃত করা হোকতাহলে এরা উতসাহিত হবে আর চুরিও বন্ধ হবে,0
ঠিক,0
হিন্দু গো অনুভুতি শক্তি হারিয়ে গেছে এখন শুধু যেটা আছে সেইটা শুধু #আকুতি,1
আমরা Airport magistrate এর সাথে আছিথাকবো আপনারা আছে বলে দেশ এগিয়ে যাচ্ছে,0
রাইট দুর্নীতিই হলো মুল সমস্যা,1
বস এটাইতো বাংলার বাঘ স্যালুট বস,0
দন্যবাদ বংলাদেশ পুলিশ,0
দেশি ভাই ভালো কাজ  ভালো লাগলো,0
ওনার আহাজারি দেখে কোনও অমানুষ ও চোখের পানি আটকাতে পারবে না বলে মনে হচ্ছে ,1
ইয়াবা এর চলান ভালই আসবে,1
সেই কখন NID কার্ড এর জন্য সবকিছু দিয়ে আসলাম এখনো দেয় নি আমি আমার বাবার NID দিয়ে সিম কিনেছি মানুষ মাত্রই ভুল করে আর আল্লাহ না করুন আমি যদি কোন ভুল করে ফেলি আমি নিশ্চয়ই চাই না এর জন্য আমার বাবার দায়ভার পরুক অনেক মানুষ আছে যাদের সিম ব্যাবহার আবশ্যক কিন্তু NID হয় নি তারা যদি অন্য কারো NID দিয়ে সিম কিনে অপরাধ করে তাহলে দায়ভার নিরীহ মানুষ দের উপরে পড়বে এই কাজ টা সত্যিকার অপরাধীরা ও করতে পারে তার উপর বিদেশী কোম্পানি কে তথ্য দেয়ার বিষয়টি ও যথেষ্ট প্রশ্নবিদ্ধ,1
আরো ভাল করে সাইজ করা দরকার,2
ধন্যবাদ,0
ভাই আপনাকে ধন্যবাদ এ ধরনের একটি পোস্ট দেয়ার জন্য ভবিষ্যতে আপনি বাংলাদেশের এসব অপরাজনীতির বিরুদ্ধে আরও সোচ্চার হবেন বলে আশা করি,0
সালা নেংটা পুজা করস আবার সম্মান দেখাস!!,2
রসময় গুপ্ত ওরফে শফিক রেহমান যে এত বড় ষড়যন্ত্রের অংশীদার তাকি আপনি মিঃ এইচআইভি সরকার? শাহবাগে কাদের সহযোগিতায় আঙুল উঁচিয়ে লম্বা লম্বা বাত চিৎ ? ডাঃ সাহেব আপনার কিন্তু ছাত্র লীগের লাথি খাওয়ার সময় এসেছে এবং অবশ্যই দুই ঠ্যংগের মাঝখানে সেই থার্ড ডিগ্রি প্রয়োগে আপনার যৌন জীবনের অবসান অবধারিত,4
হ্যা ভাইয়া শুরু হয়ে গেলো কিন্তু চালিয়ে নেওয়াটা সহজ নয় আশা করি সেটাও হবে,0
তনু এর কথা কি মনে আছে :P :P :P,1
তীব্র নিন্দা জানাই এই ঘটনাদির জন্য#ইমরান এইচ সাহেব মুয়াজ্জিন হত্যায় মানববন্ধন কি ভারতে গিয়া করেছেন? কখন???,1
যেই করুক নিন্দা জানাই,1
যারা শফিক রেহমানকে অপরাধী অপরাধী করছেন তাদের কাছে প্রশ্ন উনি কতো বড় অপরাধী? নিশ্চয়ই বিরাট বড় ক্রিমিনাল তাইনা? মহা আয়োজন করে তো গ্রেফতার করা হলো! আচ্ছা দেশে একেরপর এক যে মানুষ খুন হচ্ছে খুনিদের ধরা হচ্ছে না কেন? এই যে ব্যাংক থেকে এতোগুলো টাকা লুট হলো কই কাউকে তো ধরা হলো না! তনুসহ একটার পর একটা খুন-ধর্ষণ চলছে খুনি-ধর্ষকদের ধরছে না কেন? ও আচ্ছা শফিক রেহমান তো তার চেয়েও বড় ক্রিমিনাল তাইনা? আজব ব্যাপার! ফাজলামির একটা সীমা আছে!,2
ইতিহাসে বৈশাখের ঐতিহ্যের সাথে পান্তা ইলিশের অস্তিত্ব যেমন খুজে পাওয়া যায়না তেমনি মঙ্গল শোভাযাত্রার অস্তিত্ব আসে কোথা থেকে? কোথা থেকে কেমন করে এলো চেপে বসা এই উটকো সংস্কৃতি? এবার ইলিশ বাঁচাতে সচেতন দেশবাসী ইলিশ হত্যার রাশ টেনে ধরেছে... ইনশাল্লাহ সামনে ঈমান রক্ষায় মুসলিমরা মঙ্গল শোভাযাত্রা উল্কি আঁকা ধুন্ধুমার কনসার্ট অশালীনতা প্রত্যাখ্যান করবে!,3
তুই কি? বোকা,3
বাঁশের কনচি দিয়া চোরদেরকে পাছায় পিটান দরকার,2
মরতে হবে,1
ইলিশ কি মমতা দিদির জন্য বরাদ্ধকৃত?,2
প্রতিমা ভাঙ্গা আমাদের ধর্মিয় দায়িত্ব,0
স্যার আপনাকেও না যেন কবে গেফতার করে,4
indian দের এখন মাথাখারাপ,1
চোখটা যদি ধীরে ধীরে ঠিক হয় আরকি,0
নাসতিক দালাল মিডিয়া তোমরা,2
তোকেও জেলের ভাত খাওয়ানো দরকারসরকার তাড়াতাড়ি সেটা করবে মনে হচ্ছে,4
মুসলিমদের সমস্যা নিয়ে যখন কথা হয় তখন আপনার মুখ দিয়ে কোনো কথা বের হয় না আর সনাতন ধর্মাবলম্বী মানুষের সমস্যা হলেই আপনার কন্ঠে জোড় আসে এটাই কি আপনার সার্বজনীন ধর্ম চেতনা,3
যাক প্রমান হল আইন সবার জন্য সমান।,0
মালাওনের বাচ্চা এগুলা কিরকম মুরতি ওকে কে নস্ট করচে সেটাও জানেনা,2
আপনাদের মত যদি আন্যান্য গুরুত্বপুর্ন সেক্টরে আর দশটা প্রতিষ্ঠান থাকত তবে আমাদের দেশের চেহারা এক বছরেই পাল্টে যেত।।।।। আপনাদের প্রতি আমাদের ভালোবাসা আছে থাকবে আজীবন।।।। দোয়া রইল আপনাদের জন্য।।।,0
গ্রেট।।।। ইটস রিয়েলি গ্রেট।।।। তবে ভাই আপনারা কিন্তু এখন কঠিন সমস্যার মুখোমুখি হবেন।।।কারন এত দিনে জায়গা মতো হাত দিছেন।।। বি:দ্র: ভাই ভয় নাই পাশে ছিলাম আছি আর থাকব।।।,0
দয়া করে নিউজটা ইউটিউবে দিবেন এবং লিংকটা পোষ্ট করবেন এই পেইজে কারণ আমার কম্পিউটারে এই নিউজের লিংকটা আসতেছে না  ধন্যবাদ ,0
মাদাৱচৌধ ইতিহাস দেখ পড় 52 ভাষা আন্দোলনেৱ প্ৰথম সাৱিতে কাৱা ছিলতোৱ বাপ মুজিব নাকি গোলাম আজম ,2
ইডিট করা ছবি দিয়ে নিজেকে ছাগল প্রমাণ করছে। শালা বাল ছিঁড়া আবাল।,2
দয়া করে কি বলতে পারেন কেউ যদি বিদেশ থেকে কোন উপহার পাঠায় তাহলে ১০০% vat/tax কেন,2
