text,label
মেডিকেলে ফ্যামিলির ফটো ফ্রেম হতো নিজেকেখাপছাড়া লাগতোদম বন্ধ হয়ে আসতোঅন্যদের অপমানিত হতো পদে পদে,1
অনুভূতি কেননা সদ্য পাশ শিক্ষার্থীর মত পরিচয় দিয়ে আম্মার পঞ্চাশ টাকা ডাকাতি করলাম,1
পছন্দ করতাম দুশ্চরিত্রা মিথিলা মুখার্জি সবচেয়ে ঘৃণা পতিতা সদ্য হিন্দু হওয়া মিথিলা মুখার্জি,3
মাঝে মাঝে তোমাকে চাওয়াটা ভুল হয়ত ভুল ভুলের মাশুল হতো জানি জানি মানি,1
কাওকে দিয়ো পরিবারের বেঁচে বাঁচতে দিবে যাও অভিশাপকে আহ্বান করো,4
কান্নার জল সবাই হৃদয়ের কষ্ট দেখেনা পাওয়ার আনন্দ থাকেকিন্তু পাওয়ার সারাজীবন ভুলা যায়না,1
নির্বাচনের সময় কস্ট ভোট চাইসে চেয়ে এইসব প্রতিবন্ধী আশা যায়,3
দাদা video গুলো ভালো ডকুমেন্টারি টাইপের ভিডিও বানানো সবেমাত্রআপনারা সাপোর্ট মোটিভেশন পাই একজন ছোট youtuber চাই সাপোর্ট করুন ভিডিও গুলো আসুন ভালো লাগলে পাশে আশা,0
বাস্তবতা সারাজীবন সুখ চেয়েও পায় পেয়ে চায় নাহহায়রে আজব পৃথিবী,1
ভয় কিসের জানতামনা নানুর কুকুরের খারাপ কুকুর,4
করোনাভাইরাস সৃষ্ট রোগ কভিড১৯ বিশ্বব্যাপী মহামারী হাজির হয়েছে বাংলাদেশ ঘনবসতিপূর্ণ দেশ হওয়ার স্বাস্থ্য ঝুঁকি দেশের চেয়ে,4
বর্তমানের পরিচালকেরা এসব কালে বর্তমানের মুভিগুলোর সাথে বাস্তবতার সংস্পর্শ ফাতরামিতে ভরপুর চলচিত্র😒,3
চিতাও এগোতে সাহস দুদিনের অনাহারী চিতা কুকুরদের ক্ষুধার ভুলে লেজ গুটিয়ে ছুটে পালাল ক্ষুধা জীবনটা বাঁচাই,4
পরিবারের সবাইতো ভিষণ খুশি হইছে ভালোই হইছে,0
রানী মেরি টিউডরের প্রেতাত্মা এটাআজ করলাম অন্ধকার বাথরুমে গা ছমছম করছিলো,4
ফুল ঝরে গেছেবাগান শুন্য বিষন্ন হঠাৎ হারিয়ে অজনা এক দেশে হাওয়ার সাথে মিশে,1
টাকার কিভাবে করলো কাল পার্লার ডাকাত উনার শরীর কোথাও টাকার দেখলাম,3
বাঘের গর্জন দিয়ে বিড়ালের মত মিউ মিউ জিম্বাবুয়ের দেশের সাথে খেলা দেখলে বিড়ালই হয়😠😠,2
নিত্যপ্রয়োজনীয় জিনিসগুলো একটু দুশ্চিন্তার কথাও অভিনেতা মুহূর্তে দেশের বাইরে সতর্ক অবস্থানে আফরান নিশো,4
ছোট্ট সুখের সংসার‌ দুজনেই খুশী আফটার অল ভালোবাসার মানুষটির সাথে বিয়ে অখুশী,0
শেষের টাকা দিলাম সন্তানের উপার্জিত টাকা এক গর্বের প্রাপ্তি সৃতি মৃত্যু সাথে রাখবো,0
বয়স বেড়ে যায় পেকে যায় বিচি ঝুলে যায় নদী শুকিয়ে যায় বাইন্ছোদ রিপোর্টার বাইন্ছোদ রয়ে যায় 😡,2
সালমান দোষ দিয়ে লাভ নেইকারণ অতিথি এন্টারটেইনার প্রফেশন এটাসুতরাং আওয়ামী পন্থী বলাটা যুক্তিযুক্ত,3
মিথিলার রোস্ট চাইছিলাম মেয়েটা ভালো ছেলের জীবন নষ্ট দিলো মা হয়ে বাচ্চা মেয়েকে মানষিক সমাজের প্রতিপন্ন করলো,2
বন্ধুরা কোথাও চাকরি ছোট ছোট সময় ছাড়াই বকাবকি রাগ অপমান ভালোমন্দ শোনান,2
বাংলাদেশের সবচেয়ে বড় হয়ে নিউজিল্যান্ড ম্যাচটি বাগে পেয়েও সেদিন হারানো যায়নি কিউইদের সুযোগগুলো লাগাতে ম্যাচের ফলটা অন্যরকমও সেদিন,2
কতো দাদারে দেখলাম আবেগে আপ্লুত হয়ে গেছি 😔🥰 ভালোবাসা রইলো বাংলাদেশ 🥰,0
বাহ ভাই বাহসবশেষে বাংলাদেশ বিচিত্র চিত্র class student নিয়া গর্ববোধ question answer দিয়া,3
দেশ মানুষই বুঝে ভালো খারাপ এগুলিরে ইতালির তারপরই মজা বুজবে,3
রাখবেন পাপ বাপকেও ছাড়ে দেশটাকে দেশের মানুষগুলোকে শোষন সময়ের পরিনাম বাঁচতে,2
আবালের বাচ্চারা ছবির ট্রেলার বানায় অশিক্ষিত মূর্খ গুলিস্তানের ফুটপাতে কাপড় বিক্রি,2
সাহিত্যের সাথে টাকা পয়সার নাগপাশ লেনদেন প্রকাশকদের টাকার প্রয়োজন চাচ্ছি ভবিষ্যৎ প্রজন্মের ছাপাচ্ছেন পড়ে প্রয়োজন বোধ,3
একজন নিরপেক্ষ ফ্যান Sakib Saxena গায়ে বল মেরে আউট Bishnoi গালি দৃষ্টিকটু লেগেছে,3
জাপানিরা পারল ডায়মন্ড প্রিন্সেস জাহাজের আরোহীদের কেউকেউ করোনা ভাইরাসে আক্রান্ত যাত্রীবাহী জাহাজকে জেটিতে ভিড়তে হয়নি মাঝ দরিয়ায় কোয়ারেন্টাইনে যাত্রীদের জানালা সিলগালা বাহিরের আলোবাতাসের মিলছে কক্ষ পরিষ্কার নিজেদেরই কাপড় ধোঁয়া নিষেধ আক্রান্ত ব্যক্তিকে অন্যদের এক মিটার দূরত্ব বজায়,1
