text,reaction
"অপরাদি যে হোক, যে কোন বয়সের হোক না কেন, বিচারের মুখা মুখি হতে হবে,,,",happy
হাইরে মূর্খ বাঙালি। ডিজিটাল শব্দের অর্থ না বুঝিয়া আর কতো এ শব্দের অপব্যাবহার দেখবো?,fear
"নিশ্চিন্তে ভেঙে যাও, কেউ বলার নেই......",fear
কেয়ামতের মাঠে তোমাদের ছাড়া নট।,fear
জনাব ইউসুফ এর মত কেউ অসহায় মানুষদের পাশে থাকলে দেশের অবস্থার উন্নতি হতে ১ বছর ও লাগবে না......!!!!...,happy
বাংলাদেশে মুসলমান যে দেশে যাবে বা দুকবে সে দেশ নয়রাজ্যগর্তা শিষ্ঠি হয় এশিয়ার মধ্যো প্রায্য দেশ মুসলিম দেশ সে দেশে মুসলিম রা বাংলাদেশের মুসলিম কে দেখতে পারে না । উরা বলে বাংলা নপর হাঁরামী মালায়সিয়া লুকেরা বলে বাংলা ওয়ারাং আলিবাবা লুকচা ওয়ারাং তাবাগুড আর বাংলাদেশ মুসলিম ম্রাংমারে গেলে সব সময় গন্দগোল খুন খারাপ লেগেয় তাকবে কারণ মায়ানমারা চুরি লুচা মিথ্যা বাদী কে প্রশ্রয় দেয়না পড়ে দুই দেশে বন্ধুত্ব রাতারাতি নষ্ঠহবে,disgust
2nd time in BANGLADESH. .😊 অভিনন্দন মিঃ বেনজির ।,happy
ঠিক আছে,happy
আমার মনে হয় ইলেক্ট্রনিক এবং প্রিন্ট মিডিয়াদের সাথে আপনাদের সার্বক্ষণিক একটা লিয়াজু রাখা উচিত। সমন্নিত উদ্যোগ ছাড়া বেশি দূর যাওয়া কস্ট হবে। ভেতরের খবর গুলো যত বেশি মানুষ জানবে অপরাধিরা তত বেশি ভয়ে থাকবে। wish you all the best to save us...,fear
সব ভুয়া,disgust
ভাই আপনাার জন্য আমি গর্বিত। আমার একবার কোলাকোলি করবেন ভাই?,happy
আমি বলব চোরের শাস্তির পাশাপাশি সাইদ দেরও পুরষ্কৃত করা হোক।তাহলে এরা উতসাহিত হবে আর চুরিও বন্ধ হবে,happy
ঠিক,happy
হিন্দু গো অনুভুতি শক্তি হারিয়ে গেছে। এখন শুধু যেটা আছে সেইটা শুধু #আকুতি,sad
"আমরা Airport magistrate এর সাথে আছি,থাকবো আপনারা আছে বলে দেশ এগিয়ে যাচ্ছে,",happy
রাইট দুর্নীতিই হলো মুল সমস্যা,sad
বস এটাইতো বাংলার বাঘ স্যালুট বস,happy
দন্যবাদ বংলাদেশ পুলিশ,happy
দেশি ভাই ভালো কাজ । ভালো লাগলো।,happy
ওনার আহাজারি দেখে কোনও অমানুষ ও চোখের পানি আটকাতে পারবে না বলে মনে হচ্ছে ।,sad
ইয়াবা এর চলান ভালই আসবে,sad
সেই কখন NID কার্ড এর জন্য সবকিছু দিয়ে আসলাম এখনো দেয় নি। আমি আমার বাবার NID দিয়ে সিম কিনেছি। মানুষ মাত্রই ভুল করে আর আল্লাহ না করুন আমি যদি কোন ভুল করে ফেলি আমি নিশ্চয়ই চাই না এর জন্য আমার বাবার দায়ভার পরুক। অনেক মানুষ আছে যাদের সিম ব্যাবহার আবশ্যক কিন্তু NID হয় নি তারা যদি অন্য কারো NID দিয়ে সিম কিনে অপরাধ করে তাহলে দায়ভার নিরীহ মানুষ দের উপরে পড়বে। এই কাজ টা সত্যিকার অপরাধীরা ও করতে পারে। তার উপর বিদেশী কোম্পানি কে তথ্য দেয়ার বিষয়টি ও যথেষ্ট প্রশ্নবিদ্ধ।,sad
আরো ভাল করে সাইজ করা দরকার,angry
ধন্যবাদ,happy
ভাই আপনাকে ধন্যবাদ এ ধরনের একটি পোস্ট দেয়ার জন্য। ভবিষ্যতে আপনি বাংলাদেশের এসব অপরাজনীতির বিরুদ্ধে আরও সোচ্চার হবেন বলে আশা করি।,happy
সালা নেংটা পুজা করস আবার সম্মান দেখাস!!,angry
রসময় গুপ্ত ওরফে শফিক রেহমান যে এত বড় ষড়যন্ত্রের অংশীদার তাকি আপনি মিঃ এইচআইভি সরকার? শাহবাগে কাদের সহযোগিতায় আঙুল উঁচিয়ে লম্বা লম্বা বাত চিৎ ? ডাঃ সাহেব আপনার কিন্তু ছাত্র লীগের লাথি খাওয়ার সময় এসেছে। এবং অবশ্যই দুই ঠ্যংগের মাঝখানে সেই থার্ড ডিগ্রি প্রয়োগে আপনার যৌন জীবনের অবসান অবধারিত।,fear
হ্যা ভাইয়া। শুরু হয়ে গেলো। কিন্তু চালিয়ে নেওয়াটা সহজ নয়। আশা করি সেটাও হবে।,happy
তনু এর কথা কি মনে আছে :P :P :P,sad
"তীব্র নিন্দা জানাই এই ঘটনাদির জন্য,#ইমরান এইচ সাহেব মুয়াজ্জিন হত্যায় মানববন্ধন কি ভারতে গিয়া করেছেন? কখন???",sad
যেই করুক নিন্দা জানাই।,sad
"যারা শফিক রেহমানকে অপরাধী অপরাধী করছেন, তাদের কাছে প্রশ্ন, উনি কতো বড় অপরাধী? নিশ্চয়ই বিরাট বড় ক্রিমিনাল, তাইনা? মহা আয়োজন করে তো গ্রেফতার করা হলো! আচ্ছা, দেশে একেরপর এক যে মানুষ খুন হচ্ছে খুনিদের ধরা হচ্ছে না কেন? এই যে ব্যাংক থেকে এতোগুলো টাকা লুট হলো, কই কাউকে তো ধরা হলো না! তনুসহ একটার পর একটা খুন-ধর্ষণ চলছে, খুনি-ধর্ষকদের ধরছে না কেন? ও আচ্ছা, শফিক রেহমান তো তার চেয়েও বড় ক্রিমিনাল, তাইনা? আজব ব্যাপার! ফাজলামির একটা সীমা আছে!",angry
